Title,Views,Likes
Purna Rai - Manaka kura,25111406,156589
Ariana Grande - I know we be so complicated (boyfriend) (Lyrics) ft. Social House,1387548,30844
Talk - Why Don't We [Official Music Video],67419321,765250
Sambodhan (Audio/Lyrics) | 1974AD,8311915,50826
Fin Argus & Sabrina Carpenter - Fix Me Up (Lyrics) (From the Disney+ Original Movie 'Clouds'),3800353,44389
Fin Argus & Sabrina Carpenter - Clouds (Lyrics) (From the Disney+ Original Movie 'Clouds'),715971,9815
Naoki Urasawa's Monster Opening | Remastered in 1080p,735795,18913
David Sylvian -  For the Love of Life (Monster Ending Theme) LYRICS,2988591,63445
Sun Rai - San Francisco Street,96845603,572628
P. Tchaikovsky - Pas de Deux ('The Nutcracker'),35129121,428244
Тёмная ночь - Temnaya Noch - (Dark Night) - Piano Version,71097,2395
Eleni Karaindrou - By The Sea ( 1998 ),4019569,73256
Alice Merton - Why So Serious (Official Video),11123651,120745
Take your trench coat- Soviet WW2 Song,2040717,88133
Tchaikovsky - Valse Sentimentale,28227787,388970
Milky Chance - Stolen Dance (Official Video),968955239,5007150
Kashmir - Surfing The Warm Industry,8624475,211254
Stuck In the Sound - Let's Go [Official Video],151642365,2230800
Sadhai Sadhai Mantra | Official Music Video,16978933,126059
Sam Smith - I'm Not The Only One (Official Music Video),1695123828,6884827
YOASOBI - Racing Into The Night Lyrics (JPN_ROM_ENG),48808566,681520
Galileo Galilei - Aoi Shiori,33678970,506382
Alice Merton - No Roots,361555151,3185187
U2 - With Or Without You (Official Music Video),165995852,1058904
Money Heist - Soundtrack (My Life is Going On) - Cecilia Krull,20297573,252539
The Killers - Mr. Brightside (Official Music Video),572848352,2947598
Eric Carmen - All by Myself (Audio),25754452,312768
The Offspring - Pretty Fly (For A White Guy) (Official Music Video),87221400,688425
"Tujhse Naraz Nahi Zindagi (Lyrics) - | Lata Mangeshkar #RIP | R.D. Burman, Gulzar | Masoom 1983",7127866,76880
blink-182 - What's My Age Again? (Official Music Video),116501249,624016
Oasis - Wonderwall (Official Video),554268918,3279724
Neil Young - Heart of Gold (Lyrics),5277799,43693
Father and Son (lyrics) - Cat Stevens,18912361,102781
Sum 41 - Pieces (Official Music Video),77092224,502529
The 100 music 3x13 - Radioactive - Koda,6631578,87627
U2 - Bad,11562855,42480
Vance Joy  - We're Going Home [Official Video],14611046,134818
Soundgarden - Black Hole Sun,267073056,1723166
Fever - Peggy Lee,54858915,405312
All Too Well / Taylor Swift (Lyrics),25172152,147903
The Coasters   Sh Boom Life Could Be A Dream,12361813,353375
Sushant KC - Yaad Ft. Brijesh Shrestha,4644388,105788
Selena Gomez - Only You (Lyric Video),65725440,1026328
ZAYN - LIKE I WOULD,87680365,1443497
The Lumineers - Ophelia,243850530,1779243
Sasha Alex Sloan - Dancing With Your Ghost (Lyric Video),251424710,2813185
PALAYE ROYALE - Punching Bag (Official Music Video),5138629,99383
Finn - In Luv with U,2515346,83844
samiian - cry on cue pls,304616,10351
"Vansire - Lonely Zone (feat. Mellow Fellow, Ruru, & Paul Cherry)",287049,7039
Vansire - That I Miss You (Official Music Video),910833,27676
Vansire - Nice To See You (feat. Floor Cry),2344130,57546
Vansire - Metamodernity,657673,15798
Nachahe ko Hoina - The Edge Band I Jeewan Gurung,10653202,62932
Sushant KC - Behos,29681994,234200
Sushant KC - Risaune Bhaye,45403486,429421
Rain Jewels feat. Lilla My - Mess,122289,2077
Rebelution - Feeling Alright,53404015,172022
Fleetwood Mac - Dreams [with lyrics],203861462,1460487
Vance Joy - Riptide (Lyrics),189528232,1848998
"Calvin Harris, Sam Smith - Promises (Official Lyric Video)",309727118,1252434
Sean Hayes - Powerful Stuff (Run Wolves Run),1871183,9762
Sublime - What I Got (Official Music Video),79192326,408419
America-A Horse With No Name Lyrics,3560836,41232
