Title,Views,Likes
"Your Name opening ""Dream Lantern"" extended",8277716,89483
Kimi no Na wa (Your Name) - Ending song,6824134,93729
Dororo - Ending 2 Full『Yamiyo』by Eve,2992910,46091
Dororo Ending Full『amazarashi - Sayonaragokko』【ENG Sub】,14789614,138857
Dororo Opening Full『Ziyoou-vachi - Kaen』,32670667,313299
OneRepublic - I Ain't Worried (Lyrics),19909426,176932
The Weeknd - The Hills,2140223782,12816928
"The Weeknd, Ariana Grande - Die For You (Remix / Lyric Video)",311491017,2119472
The Weeknd - Out of Time (Official Video),125987690,1765530
The Weeknd - Save Your Tears (Official Music Video),1666557590,9566343
The Weeknd - Reminder (Official Video),546900812,3499363
The Weeknd - DIE FOR YOU (Lyrics),36571870,297362
The Weeknd & Ariana Grande - Save Your Tears (Remix) (Official Video),318253994,3742459
The Weeknd - Blinding Lights (Lyrics),135637273,1332080
The Weeknd - Acquainted (Lyrics),1680388,13309
Red Hot Chili Peppers - Snow (Hey Oh),72168281,262277
Stephen Sanchez - Until I Found You (Lyrics),98111118,1187434
Eminem - Till I Collapse (Motivation video) 2021,61962324,640638
Celine Dion - My Heart Will Go On  (HD),12481005,150959
James Blunt - You're Beautiful (Official Music Video) [4K],818546448,4979339
Sean Hayes - Garden,419953,3039
Eminem - Lose Yourself (Lyrics),94587589,902902
Survivor - Eye Of The Tiger (Lyrics),18641558,157992
Queen – Bohemian Rhapsody (Official Video Remastered),1822281099,12786297
Hideyoshi - Majinahanashi（Official Video）,10783019,342310
Lana Del Rey - Summertime Sadness (Official Music Video),594205451,6436952
Earned It - The Weeknd (Lyrics) 🎵,20864530,168726
"Pitbull, Afrojack - Maldito Alcohol",36498030,258031
ZAYN - Still Got Time (Official Video) ft. PARTYNEXTDOOR,73757931,1023775
Hai Rama Ye Kya Hua Live by Hariharan,17270788,269273
Analyse audio song with lyrics from The Prestige movie,10781,115
Freddie Dredd - Limbo (Lyrics),10626972,129628
Sajjan Raj Vaidya - Dhairya [Official Release],42300855,361900
Mercedes Benz - Cobweb | Tuborg Open Sessions,9112247,72129
Bagaicha - Ktaharu,4192300,58645
Gerry Rafferty - Baker Street (Lyrics),2038432,21875
"Grailz Beni - It's Not So Bad (tiktok version) | "" It reminds me that it's not so bad """,3261606,80504
Brodha V - Aathma Raama [Lyric Video],11839046,0
Sam Smith - I'm Not The Only One (Lyrics),516757,5384
Imagine Dragons x J.I.D - Enemy (from the series Arcane League of Legends),404771087,5975563
Imagine Dragons - Bones (Official Music Video),333782217,3733118
"Jasiah - Crisis (Lyrics) | and i'm swervin in the streets, ay get the f outta my way",1528279,27422
Iraq Lobster (Family Guy) (Guitar Tabs),65468,1992
Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit),1687709300,8558057
The Weeknd - Call Out My Name (Official Video),974905772,6715082
Passenger | Let Her Go (Official Video),3711775260,17155093
Sathi - Sushant KC (Official Lyrics Video),302944,9067
"John Denver - Take Me Home, Country Roads (Lyrics)",16520847,146425
ROCKHEADS | RANGA |,24063523,170393
Ed Sheeran - Eraser [Official Audio],62119634,378537
Purna Rai - Manaka kura,25178352,156854
Ariana Grande - I know we be so complicated (boyfriend) (Lyrics) ft. Social House,1387747,30848
Talk - Why Don't We [Official Music Video],67424118,765238
